"","Subject","Activity_Name","Stat_Name","Mean"
"1",1,"LAYING","angletBodyAccJerkMean_gravityMean",0.00306040735
"2",1,"LAYING","angletBodyAccMean_gravity",0.0213659655642
"3",1,"LAYING","angletBodyGyroJerkMean_gravityMean",0.08443716468
"4",1,"LAYING","angletBodyGyroMean_gravityMean",-0.001666984698
"5",1,"LAYING","angleX_gravityMean",0.4267062264
"6",1,"LAYING","angleY_gravityMean",-0.52034381798
"7",1,"LAYING","angleZ_gravityMean",-0.35241310896
"8",1,"LAYING","fBodyAcc_mean_X",-0.9390990524
"9",1,"LAYING","fBodyAcc_mean_Y",-0.86706520518
"10",1,"LAYING","fBodyAcc_mean_Z",-0.8826668762
"11",1,"LAYING","fBodyAcc_meanFreq_X",-0.158792670508
"12",1,"LAYING","fBodyAcc_meanFreq_Y",0.097534841586
"13",1,"LAYING","fBodyAcc_meanFreq_Z",0.08943765522
"14",1,"LAYING","fBodyAccJerk_mean_X",-0.9570738838
"15",1,"LAYING","fBodyAccJerk_mean_Y",-0.9224626098
"16",1,"LAYING","fBodyAccJerk_mean_Z",-0.9480609042
"17",1,"LAYING","fBodyAccJerk_meanFreq_X",0.132419092398
"18",1,"LAYING","fBodyAccJerk_meanFreq_Y",0.024513618956
"19",1,"LAYING","fBodyAccJerk_meanFreq_Z",0.02438794528
"20",1,"LAYING","fBodyAccMag_mean",-0.8617676481
"21",1,"LAYING","fBodyAccMag_meanFreq",0.08640856294
"22",1,"LAYING","fBodyBodyAccJerkMag_mean",-0.9333003608
"23",1,"LAYING","fBodyBodyAccJerkMag_meanFreq",0.26639115416
"24",1,"LAYING","fBodyBodyGyroJerkMag_mean",-0.9423669466
"25",1,"LAYING","fBodyBodyGyroJerkMag_meanFreq",0.17648590708
"26",1,"LAYING","fBodyBodyGyroMag_mean",-0.8621901854
"27",1,"LAYING","fBodyBodyGyroMag_meanFreq",-0.1397750127
"28",1,"LAYING","fBodyGyro_mean_X",-0.850249174586
"29",1,"LAYING","fBodyGyro_mean_Y",-0.9521914948
"30",1,"LAYING","fBodyGyro_mean_Z",-0.909302721
"31",1,"LAYING","fBodyGyro_meanFreq_X",-0.003546795856
"32",1,"LAYING","fBodyGyro_meanFreq_Y",-0.091529130882
"33",1,"LAYING","fBodyGyro_meanFreq_Z",0.01045812566
"34",1,"LAYING","tBodyAcc_mean_X",0.22159824394
"35",1,"LAYING","tBodyAcc_mean_Y",-0.0405139534294
"36",1,"LAYING","tBodyAcc_mean_Z",-0.11320355358
"37",1,"LAYING","tBodyAccJerk_mean_X",0.0810865342
"38",1,"LAYING","tBodyAccJerk_mean_Y",0.0038382040088
"39",1,"LAYING","tBodyAccJerk_mean_Z",0.010834236361
"40",1,"LAYING","tBodyAccJerkMag_mean",-0.9543962646
"41",1,"LAYING","tBodyAccMag_mean",-0.8419291525
"42",1,"LAYING","tBodyGyro_mean_X",-0.016553093978
